Date,High,Low,Open,Close,Volume,Adj Close,Name
2016-05-16,81.88999938964844,80.75,81.01000213623047,81.62999725341797,6497200.0,70.57974243164062,PG
2016-05-17,82.05999755859375,80.33000183105469,81.63999938964844,80.62000274658203,10188200.0,69.70645904541016,PG
2016-05-18,80.7699966430664,79.41000366210938,80.58999633789062,79.8499984741211,8344100.0,69.04070281982422,PG
2016-05-19,80.22000122070312,79.44999694824219,79.63999938964844,80.19000244140625,6242500.0,69.33468627929688,PG
2016-05-20,80.5,79.79000091552734,80.44000244140625,80.0199966430664,6526800.0,69.18769073486328,PG
2016-05-23,80.33000183105469,79.8499984741211,80.05000305175781,80.19999694824219,5620600.0,69.34331512451172,PG
2016-05-24,81.37999725341797,80.30000305175781,80.30000305175781,80.97000122070312,6293300.0,70.00910186767578,PG
2016-05-25,81.7699966430664,81.01000213623047,81.08000183105469,81.4800033569336,6049800.0,70.45006561279297,PG
2016-05-26,81.5999984741211,81.08999633789062,81.4800033569336,81.22000122070312,4622300.0,70.22525787353516,PG
2016-05-27,81.66000366210938,81.16000366210938,81.2699966430664,81.43000030517578,4322200.0,70.40679931640625,PG
2016-05-31,81.81999969482422,80.73999786376953,81.58000183105469,81.04000091552734,6705000.0,70.06961059570312,PG
2016-06-01,81.80000305175781,80.86000061035156,80.94999694824219,81.79000091552734,6184100.0,70.71808624267578,PG
2016-06-02,81.94999694824219,81.33000183105469,81.52999877929688,81.94999694824219,5186300.0,70.8564224243164,PG
2016-06-03,82.48999786376953,81.77999877929688,81.93000030517578,82.47000122070312,6306700.0,71.30604553222656,PG
2016-06-06,82.83000183105469,82.2300033569336,82.4000015258789,82.7699966430664,5292300.0,71.56542205810547,PG
2016-06-07,82.88999938964844,82.25,82.76000213623047,82.31999969482422,6327500.0,71.17633056640625,PG
2016-06-08,82.75,82.0199966430664,82.37000274658203,82.6500015258789,4712600.0,71.46166229248047,PG
2016-06-09,83.26000213623047,82.43000030517578,82.58000183105469,83.16999816894531,6144900.0,71.9112777709961,PG
2016-06-10,83.33999633789062,82.61000061035156,82.7699966430664,83.19999694824219,6840800.0,71.93721008300781,PG
2016-06-13,83.4000015258789,82.52999877929688,82.95999908447266,82.56999969482422,6167400.0,71.39248657226562,PG
2016-06-14,83.37000274658203,82.2699966430664,82.55000305175781,83.3499984741211,6868600.0,72.06692504882812,PG
2016-06-15,83.5,82.81999969482422,83.4000015258789,82.94999694824219,7082200.0,71.72105407714844,PG
2016-06-16,83.61000061035156,82.66000366210938,82.66999816894531,83.41000366210938,6630100.0,72.1187744140625,PG
