Company,X,y,Cluster
A,1.1022567749023438,1.9922080039978027,3
AAL,-2.6588966846466064,5.140549659729004,2
AAP,-1.5002539157867432,2.1545777320861816,6
AAPL,0.5342874526977539,1.1807489395141602,3
ABBV,1.4890323877334597,3.509284257888794,0
ABC,-0.2193125933408737,6.048069953918457,2
ABT,1.315428614616394,2.300774335861206,3
ACN,0.2437644600868225,2.510906457901001,3
ADBE,0.5904479622840881,1.217207908630371,3
ADI,-0.3903276026248932,1.205722451210022,3
ADM,-0.76142418384552,5.407322406768799,2
ADP,0.5215807557106018,2.904844284057617,3
ADS,-1.60831880569458,6.279004096984863,2
ADSK,0.6370721459388733,1.2076739072799685,3
AEE,6.852261066436768,6.644894599914551,1
AEP,6.846434116363525,6.82620096206665,1
AES,6.241189479827881,6.280426979064941,1
AET,-2.7677764892578125,8.759623527526855,5
AFL,-0.6157412528991699,4.719157695770264,2
AIG,-1.316973090171814,5.767940998077393,2
AIV,11.139592170715332,7.668494701385498,4
AIZ,-0.1804738193750381,4.559443950653076,0
AJG,0.1082066595554351,3.9739859104156494,0
AKAM,0.2149199247360229,2.155051946640014,3
ALB,-2.284731864929199,3.3495163917541504,6
ALGN,0.280493289232254,1.3484357595443726,3
ALK,-2.61371111869812,4.966444492340088,2
ALL,-0.0343580730259418,4.180290222167969,0
ALLE,-1.3978798389434814,2.882582902908325,6
ALXN,1.493721604347229,3.639176368713379,0
AMAT,-0.4363585412502289,0.9839596748352052,3
AMD,0.3806728720664978,0.8591933846473694,3
AME,-1.5334089994430542,3.2777700424194336,6
AMG,-1.7431564331054688,6.389090061187744,2
AMGN,1.4554373025894165,3.3674919605255127,0
AMP,-1.4351595640182495,4.639397621154785,2
AMT,10.724242210388184,7.199864387512207,4
AMZN,0.4819488525390625,1.3987479209899902,3
ANDV,-2.8816840648651123,8.68191146850586,5
ANSS,0.58495032787323,1.0962486267089844,3
ANTM,1.9207589626312256,2.7331643104553223,3
AON,0.0848051533102989,3.82769775390625,0
AOS,-1.8395370244979856,2.501401901245117,6
APA,-2.9326345920562744,8.169442176818848,5
APD,-0.7018498778343201,2.664539098739624,6
APH,-1.2656779289245603,3.4175710678100586,6
APTV,-2.499721050262451,5.226150035858154,2
ARE,11.037952423095703,7.512715816497803,4
ARNC,0.4715909957885742,0.7861313223838806,3
ATVI,0.2396199256181717,1.4915286302566528,3
AVB,11.209595680236816,7.683874607086182,4
AVGO,-0.3711919784545898,1.1697851419448853,3
AVY,-1.5392225980758667,3.144566059112549,6
AWK,6.876858711242676,6.792141437530518,1
AXP,-1.269086837768555,4.08165454864502,6
AYI,-2.125202417373657,6.132175445556641,2
AZO,-1.3454949855804443,2.201066493988037,6
BA,-1.5215835571289062,4.431471824645996,2
BAC,-1.418008804321289,5.401828289031982,2
BAX,1.324002385139465,2.589092493057251,3
BBY,-0.9443761110305786,2.3992726802825928,6
BDX,1.3368983268737793,2.513643980026245,3
BEN,-1.7399286031723022,6.238425254821777,2
BHF,-1.4602984189987185,5.949245929718018,2
BIIB,1.5891504287719729,3.4910714626312256,0
BK,-1.3113573789596558,5.511119365692139,2
BLK,-1.1905642747879028,3.8754258155822754,6
BLL,-0.4554587006568908,2.7095787525177,6
BMY,1.5588680505752563,3.409232378005981,0
BSX,1.0154789686203003,2.5431065559387207,3
BWA,-2.3381638526916504,5.900923728942871,2
BXP,11.305006980895996,7.784836769104004,4
C,-1.6830962896347046,5.204998016357422,2
CA,-2.850677013397217,8.702811241149902,5
CAG,1.5698561668395996,5.065715789794922,0
CAH,-0.3204096853733063,6.069886207580566,2
CAT,-2.4925694465637207,3.211216926574707,6
CB,-0.0837321877479553,4.501241683959961,0
CBOE,0.4736243188381195,4.0374836921691895,0
CCI,10.742056846618652,7.214856624603271,4
CCL,-2.419915199279785,4.836916923522949,2
CDNS,0.2976033687591553,0.9477657675743104,3
CERN,1.2144290208816528,3.077779531478882,0
CF,-2.435401201248169,6.6339263916015625,2
CFG,-1.9697277545928955,5.70322847366333,2
CHD,1.5540640354156494,4.57991361618042,0
CHK,-0.4219886362552643,0.7121618986129761,3
CHRW,-2.504404067993164,2.6048030853271484,6
CHTR,-0.3616301119327545,3.723141670227051,6
CI,1.9462037086486816,2.7947683334350586,3
CINF,-0.2684701085090637,4.675956726074219,0
CL,1.253959059715271,4.81287956237793,0
CLX,1.5133531093597412,4.656164169311523,0
CMA,-1.919994592666626,5.764899253845215,2
CMCSA,-0.662258505821228,4.356242656707764,6
CME,0.5018258094787598,3.9193058013916016,0
CMG,0.3802721798419952,0.856540322303772,3
CMI,-2.173427104949951,2.738655567169189,6
CMS,6.731775283813477,6.752045154571533,1
CNC,1.9683622121810915,2.8094489574432373,3
CNP,6.48936653137207,6.4510698318481445,1
COF,-2.006999969482422,4.870072841644287,2
COG,-2.8557019233703613,8.11510181427002,5
COL,-3.0130157470703125,7.927598476409912,5
COO,1.1028825044631958,2.576160430908203,3
COP,-2.460903644561768,7.520303249359131,5
COST,0.9246094822883606,4.287929058074951,0
COTY,-3.0177736282348637,7.851166725158691,5
CPB,1.5393881797790527,5.033015251159668,0
CRM,0.5589280724525452,1.3343639373779297,3
CSCO,-0.7189861536026001,4.123967170715332,6
CSRA,-2.8790602684021,8.835598945617676,5
CSX,-2.1157021522521973,2.645360946655273,6
CTAS,0.1154253408312797,2.414626121520996,3
CTSH,-0.7665695548057556,3.9196527004241934,6
CTXS,0.0902171805500984,2.0256175994873047,3
CVS,-0.2602089643478393,6.063352584838867,2
CVX,-2.41819167137146,7.494514942169189,5
