Company,X,y
A,-27.713619232177734,-1.8277217149734497
AAL,-18.022449493408203,21.268754959106445
AAP,7.698492050170898,-14.375313758850098
AAPL,-21.1130428314209,7.026751518249512
ABBV,-34.47383117675781,-5.784158229827881
ABC,-32.821434020996094,-10.915264129638672
ABT,-30.214914321899414,-5.190225124359131
ACN,0.46881067752838135,-1.820072054862976
ADBE,-20.264673233032227,3.877934455871582
ADI,-18.167816162109375,9.515188217163086
ADM,15.05025577545166,-3.1518285274505615
ADP,3.97434663772583,-6.051990985870361
ADS,-10.067949295043945,2.7355096340179443
ADSK,-20.240150451660156,4.767841815948486
AEE,35.24602508544922,-14.625097274780273
AEP,36.09626770019531,-14.648541450500488
AES,34.37891387939453,-17.578584671020508
AET,-37.88627624511719,0.7587276101112366
AFL,-4.875946044921875,-4.496333122253418
AGN,-35.95491027832031,-8.65011978149414
AIG,-7.08761739730835,-4.89237642288208
AIV,35.19053268432617,-2.2504684925079346
AIZ,-5.309507846832275,-5.781477928161621
AJG,-9.128156661987305,-10.151288986206055
AKAM,-14.676770210266113,2.935499906539917
ALB,-3.4709243774414062,17.247093200683594
ALGN,-24.28591537475586,-0.4842994511127472
ALK,-19.37224578857422,21.407913208007812
ALL,-5.092983245849609,-8.77044677734375
ALLE,5.4286699295043945,-0.199711412191391
ALXN,-38.04114532470703,-6.790999412536621
AMAT,-20.84954261779785,9.177163124084473
AMD,-22.87942123413086,10.784038543701172
AME,0.7812162637710571,8.424643516540527
AMG,-7.078500270843506,2.239760160446167
AMGN,-36.030250549316406,-6.147092819213867
AMP,-6.810948371887207,0.9989954829216003
AMT,29.90110206604004,-5.994422435760498
AMZN,-23.098731994628906,6.101579189300537
ANDV,7.468806266784668,25.216352462768555
ANSS,-19.236190795898438,1.5035948753356934
ANTM,-37.28684997558594,1.1149086952209473
AON,-8.691910743713379,-10.862160682678223
AOS,5.630187511444092,0.7471832036972046
APA,-2.337217330932617,29.040027618408203
APC,-1.218241572380066,30.424530029296875
APD,8.452850341796875,4.973956108093262
APH,-9.554656028747559,7.1105875968933105
APTV,10.55009651184082,12.871203422546387
ARE,36.45021438598633,-3.1248180866241455
ARNC,-2.326406955718994,21.671485900878906
ATVI,-23.674911499023438,2.9589195251464844
AVB,35.49756622314453,-1.5812312364578247
AVGO,-19.039339065551758,10.666837692260742
AVY,12.9095458984375,3.3543965816497803
AWK,33.994781494140625,-11.7794828414917
AXP,-10.91964054107666,1.524046778678894
AYI,6.832408428192139,1.163560152053833
AZO,7.07573127746582,-14.785998344421387
BA,8.756645202636719,11.301807403564453
BAC,-9.95195198059082,-3.069519281387329
BAX,-28.86815071105957,-7.31356954574585
BBT,-10.678224563598633,-5.1531662940979
BBY,5.394387722015381,-22.716777801513672
BDX,-28.726234436035156,-5.402074337005615
BEN,-5.700088024139404,3.4742836952209473
BF.B,18.83333969116211,-14.75735092163086
BHF,-1.0737107992172241,3.2455084323883057
BHGE,11.051910400390625,14.158642768859863
BIIB,-37.47601318359375,-6.652441024780273
BK,-9.251121520996094,-0.5423173904418945
BLK,-5.64943790435791,2.7373580932617188
BLL,13.037810325622559,2.410907030105591
BMY,-35.01217269897461,-7.0741987228393555
BRK.B,-4.609087944030762,-1.8384513854980469
BSX,-27.450828552246094,-4.838207244873047
BWA,-5.160651206970215,9.171882629394531
BXP,37.346649169921875,-2.0188887119293213
C,-9.140652656555176,-3.0595791339874268
CA,-15.55604362487793,5.185276985168457
CAG,22.334632873535156,-16.500926971435547
CAH,-32.94593048095703,-10.86797046661377
CAT,0.11395610123872757,12.549142837524414
CB,-6.388493061065674,-9.771434783935547
CBG,-5.490932464599609,1.0659809112548828
CBOE,-15.135568618774414,-10.945420265197754
CBS,-9.41301441192627,17.039709091186523
CCI,29.95065689086914,-6.080078125
CCL,-21.458106994628906,16.74639892578125
CDNS,-20.74582290649414,-0.3309548795223236
CELG,-36.73699188232422,-6.013235092163086
CERN,-30.128252029418945,-1.6375035047531128
CF,1.0052847862243652,20.828920364379883
CFG,-13.73990535736084,-5.3306779861450195
CHD,23.183626174926758,-12.299781799316406
CHK,-0.6664673686027527,31.594945907592773
CHRW,7.799543380737305,17.45438575744629
CHTR,7.582988739013672,-8.189653396606445
CI,-37.864688873291016,1.352879285812378
CINF,-6.682815074920654,-8.664648056030273
CL,20.892433166503906,-11.339884757995605
CLX,21.924028396606445,-12.265363693237305
CMA,-12.108154296875,-3.435062885284424
CMCSA,7.560374736785889,-8.177878379821777
CME,-14.233793258666992,-10.96178913116455
CMG,-0.6534411311149597,-14.96045207977295
CMI,-1.6534651517868042,10.072257041931152
CMS,35.21446990966797,-13.557741165161133
CNC,-36.266761779785156,1.2797013521194458
CNP,33.58164596557617,-16.05054473876953
COF,-11.676385879516602,0.18588104844093323
COG,-1.4042052030563354,33.675132751464844
COL,4.8160529136657715,7.591529846191406
COO,-26.4804744720459,-4.077658653259277
COP,-1.8046181201934814,28.049739837646484
COST,9.951180458068848,-19.673063278198242
COTY,18.724525451660156,-8.726750373840332
CPB,22.79219627380371,-15.46985912322998
CRM,-19.599655151367188,3.3354601860046387
CSCO,-14.139762878417969,6.945647716522217
CSRA,5.457673072814941,0.8586288094520569
CSX,3.5058200359344482,15.955127716064453
CTAS,3.681650400161743,-1.770302414894104
CTL,21.2189884185791,-3.493143320083618
CTSH,0.6601000428199768,-1.6300952434539795
CTXS,-17.943431854248047,2.8917717933654785
CVS,12.246631622314453,-17.070056915283203
CVX,-2.5088374614715576,26.607507705688477
CXO,-2.9813380241394043,30.380924224853516
