Company,X,y
A,-0.15266888110652127,-0.1686164581292962
AAL,-0.12224750461048693,-0.1331867175663368
AAP,0.00080259251110845,0.04511274807837579
AAPL,-0.07987563929473049,-0.19115421489339154
ABBV,0.010271136200770324,-0.21158916660312446
ABC,-0.0011194559334189082,-0.19311883947645334
ABT,0.014126319622958539,-0.19275049921367401
ACN,-0.03983912499412509,-0.1572618641240735
ADBE,-0.048170927658641886,-0.3724153273939193
ADI,-0.1582088015165149,-0.17202864927144926
ADM,0.01207930792682965,0.13165402710299226
ADP,0.06380902290676248,-0.06198712189648978
ADS,-0.17943603379429973,-0.04733704127101094
ADSK,-0.15078207904038443,-0.2498633476019308
AEE,0.6694379841390401,0.16657901990494947
AEP,0.7290239041896356,0.18005799373020245
AES,0.23945887778002256,0.2208113635858733
AET,-0.02385136763627604,-0.18362268815878593
AFL,-0.09739581002585963,0.12217729264944424
AGN,-0.004888688761657077,-0.23259672589740635
AIG,-0.2208267515767233,0.10844516255453408
AIV,0.506036078742402,0.029879330032200085
AIZ,-0.09369221423399075,0.11326441896108369
AJG,-0.05443151989685487,-0.00959040721583659
AKAM,-0.15496883270667566,-0.09885295896727339
ALB,-0.04024519219687993,-0.0040352831578552425
ALGN,0.015508747823627203,-0.330745782570657
ALK,-0.06453957468562452,-0.13880074080488042
ALL,-0.006330728742576286,0.1213662742239572
ALLE,-0.08254591498262187,-0.12652648688115636
ALXN,-0.06942373909018736,-0.18632614045756762
AMAT,-0.11487623347983524,-0.3149357056919567
AMD,-0.04462505543931748,-0.1837309658768061
AME,-0.21223501417419427,0.10649113613733022
AMG,-0.26982163457624747,0.08121884126680497
AMGN,-0.011530336802882148,-0.24710670591278086
AMP,-0.3510300530669371,0.07234414117022107
AMT,0.3379955299126465,-0.08187332953814101
AMZN,-0.004935340695396763,-0.33647562017575805
ANDV,-0.06047430888011458,0.00395574008457315
ANSS,-0.09087081673276859,-0.20546857827843723
ANTM,-0.03419023240240907,-0.1750426395593017
AON,-0.0018537540886798707,-0.0013256347553538069
AOS,-0.16127572381804864,-0.10743490980573585
APA,-0.15881033915467815,0.42732783164250726
APC,-0.14497456696555866,0.4164155494026183
APD,-0.09597328477601386,0.04950356089392435
APH,-0.07460748467478674,-0.08634497667300037
APTV,-0.05987134160048556,-0.11059195881976619
ARE,0.43397336649268886,0.010042313808485774
ARNC,-0.12715003937339,0.22618593467957104
ATVI,0.02504553623653333,-0.3836866186394847
AVB,0.5284922858449675,0.023998620016382526
AVGO,-0.11366990425911974,-0.3323191265669285
AVY,-0.017588119729314768,-0.07604003940611224
AWK,0.6428389723225999,0.11070014575250232
AXP,-0.20205224044972325,0.06024050790496426
AYI,-0.08915950360575399,0.018133855307544276
AZO,0.04010058494338117,-0.07116701605114685
BA,-0.11027266318850121,-0.08665314724080556
BAC,-0.4645485805279607,0.09515703080986168
BAX,0.0335380951804635,-0.19545188232955416
BBT,-0.384041963708352,0.12399496832363602
BBY,-0.09309741521375492,0.02964272436190543
BDX,0.0665840383498882,-0.3201905932232577
BEN,-0.19443064793415912,0.16601862621513253
BF.B,0.2291589688803625,-0.03145402202441832
BHF,-0.010712735727504898,-0.03528286055916854
BHGE,0.021120971187774583,0.07717720547802813
BIIB,-0.08428802300676394,-0.21530666624948522
BK,-0.36097180678462243,0.077514397592817
BLK,-0.20872725244762644,0.04658526985693468
BLL,0.09806197065323619,-0.019424638258730312
BMY,-0.0019550223108369355,-0.20349449503634354
BRK.B,-0.1536178778711941,0.08315079836853234
BSX,0.032349783882445485,-0.3232062784211498
BWA,-0.2283751011339071,0.09236676432144864
BXP,0.4122212024156775,0.12837591534412549
C,-0.37729842915387585,0.11306131914244193
CA,-0.06812409513096644,-0.10035713670990058
CAG,0.28275734291403426,-0.03074748370024979
CAH,-0.034829972860530765,-0.172726770101126
CAT,-0.23304955343447983,0.21959014155621434
CB,0.020940017549467442,0.05179218837782245
CBG,-0.08416330790747929,-0.00581222181598088
CBOE,0.05127021180623721,-0.09052525740187281
CBS,-0.08034064302982932,0.1091226874139329
CCI,0.3445869121571358,-0.021910099087971088
CCL,-0.06917924122066998,-0.16476064308768723
CDNS,-0.01767735044883411,-0.27834882707002156
CELG,-0.07677057761148388,-0.26665456915015645
CERN,-0.02475529549384034,-0.2168177754130728
CF,-0.1583134409748703,0.15453252595338543
CFG,-0.37617493036611616,0.05532207214477044
CHD,0.20872944791521944,-0.03705900002633197
CHK,-0.10031436996946332,0.3872301191723884
CHRW,0.01057617901006863,0.12261665225479919
CHTR,0.07205918981719484,-0.08088639972683556
CI,-0.03510311165046824,-0.18415263567498555
CINF,0.030726028389027802,0.08079015564431503
CL,0.3340238946732949,0.024927364884016437
CLX,0.40821735977851464,-0.029683310518799043
CMA,-0.44858674370541923,0.14626021438095854
CMCSA,-0.017590238511419706,0.01377082001354913
CME,-0.16117264036638856,-0.032038527425945464
CMG,0.017750321579130167,-0.014195242833563571
CMI,-0.23413199225870782,0.19118249192024062
CMS,0.7364792121514511,0.18774027177061234
CNC,-0.012242573213603607,-0.2549151925053875
CNP,0.4348263151704388,0.2783678615449829
COF,-0.36817601465165095,0.12538866008075392
COG,-0.025186390926013554,0.27434450350407863
COL,-0.04243003088545048,-0.010780481120955764
COO,0.024264577522643646,-0.2972371468879787
COP,-0.18814797405789127,0.4384960045336409
COST,0.13694387424723503,-0.042778356382306655
COTY,0.05620174838713773,-0.05057757316973692
CPB,0.3583667135814976,0.05878970277181717
CRM,-0.09546698196079142,-0.26969101427490677
CSCO,-0.12554271306011272,-0.10023977094854404
